City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,York,US,2020-08-21 20:59:54,40.13,-77.0,88.0,45,1,10.29
160,Dingle,PH,2020-08-21 21:01:06,11.0,122.67,75.29,90,28,0.85
161,Puerto Suarez,BO,2020-08-21 21:01:07,-18.95,-57.8,51.8,71,90,10.29
162,Zhigansk,RU,2020-08-21 21:01:07,66.77,123.37,37.58,79,0,14.83
163,East London,ZA,2020-08-21 21:01:07,-33.02,27.91,59.54,73,3,10.76
164,Snezhnogorsk,RU,2020-08-21 21:01:07,69.19,33.25,57.2,100,78,6.71
165,Hithadhoo,MV,2020-08-21 21:01:07,-0.6,73.08,84.06,69,93,5.64
166,Linxia,CN,2020-08-21 21:01:08,35.6,103.21,62.24,77,99,1.92
167,Kodiak,US,2020-08-21 21:01:08,57.79,-152.41,71.6,43,1,14.99
168,Puerto Plata,DO,2020-08-21 20:57:47,19.79,-70.69,87.8,74,75,9.17
169,Rancharia,BR,2020-08-21 21:01:09,-22.23,-50.89,59.0,58,78,5.82
170,Micheldorf,AT,2020-08-21 21:01:09,46.92,14.44,73.4,83,0,2.24
171,Road Town,VG,2020-08-21 21:01:09,18.42,-64.62,86.0,74,40,11.41
172,Aginskoye,RU,2020-08-21 21:01:09,51.1,114.53,59.9,84,100,0.54
173,Vila Velha,BR,2020-08-21 21:00:43,-20.33,-40.29,69.8,73,75,13.87
174,Zhenhai,CN,2020-08-21 21:01:10,24.26,118.09,80.6,83,96,4.47
175,Wuda,CN,2020-08-21 21:01:10,39.5,106.71,69.48,68,57,16.35
176,Gat,IL,2020-08-21 20:57:02,31.61,34.76,79.0,76,1,1.81
177,Gushikawa,JP,2020-08-21 21:01:10,26.35,127.87,80.6,100,90,6.02
178,Acapulco,MX,2020-08-21 21:01:11,16.86,-99.89,86.0,74,40,4.7
179,Maragogi,BR,2020-08-21 21:01:11,-9.01,-35.22,74.28,83,100,8.39
180,Saldanha,ZA,2020-08-21 21:01:11,-33.01,17.94,55.4,82,0,8.05
181,Foz Do Iguacu,BR,2020-08-21 21:01:12,-25.55,-54.59,57.2,33,0,8.05
182,Acari,PE,2020-08-21 21:01:12,-15.43,-74.62,70.88,50,18,7.85
183,San Juan,AR,2020-08-21 20:56:40,-31.54,-68.54,63.48,24,0,8.41
184,Nara,JP,2020-08-21 21:00:47,34.69,135.8,82.99,83,20,9.17
185,Atuona,PF,2020-08-21 21:01:13,-9.8,-139.03,78.8,77,2,13.78
