City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
508,Spearfish,US,81.0,clear sky,44.49,-103.86,Travelodge by Wyndham Spearfish
510,Alice Town,BS,85.05,light rain,25.72,-79.3,Bimini Big Game Club Resort & Marina
512,Laizhou,CN,76.21,overcast clouds,37.18,119.93,Baidu International Hotel
514,Elizabeth City,US,80.6,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
516,Wooster,US,75.2,clear sky,40.81,-81.94,Hilton Garden Inn Wooster
517,Ciudad Bolivar,VE,79.68,light rain,8.12,-63.55,Hotel Edi
518,Atar,MR,86.14,clear sky,20.52,-13.05,Oumou Elghoura
520,Lamar,US,82.4,clear sky,33.67,-95.58,Kings Inn Paris TX
521,Teluknaga,ID,84.2,haze,-6.1,106.64,Bale Ocasa hotel
525,Manavgat,TR,75.2,clear sky,36.79,31.44,Lake & River Side Hotel & Spa
526,Naze,JP,86.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
527,Auki,SB,86.29,light rain,-8.77,160.7,Auki Motel
529,Celestun,MX,82.11,clear sky,20.87,-90.4,Posada Lilia
530,Chihuahua,MX,87.8,scattered clouds,28.5,-106.0,
531,Conway,US,82.0,clear sky,35.09,-92.44,"Country Inn & Suites by Radisson, Conway, AR"
534,Luganville,VU,84.2,broken clouds,-15.53,167.17,The Espiritu Hotel
535,Bafoulabe,ML,76.17,light rain,13.81,-10.83,
536,Russell,US,77.0,few clouds,32.35,-85.2,Macs
537,Stephenville,US,84.2,clear sky,32.22,-98.2,Holiday Inn Express & Suites Stephenville
539,West Bay,KY,80.01,thunderstorm,19.37,-81.42,Calypso Cove
540,Acapulco,MX,82.4,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
541,Enid,US,87.8,clear sky,36.4,-97.88,Ramada by Wyndham Enid
543,Mapastepec,MX,77.07,light rain,15.43,-92.9,Hotel San Carlos
548,San Pedro,PH,90.0,few clouds,14.35,121.02,OYO 412 Viewfort Venue
550,Jalu,LY,75.99,clear sky,29.03,21.55,Jalu Hotel
551,Hamilton,US,80.01,few clouds,39.18,-84.53,Six Acres Bed & Breakfast
554,Zaranj,AF,77.27,clear sky,30.97,61.88,غزنوی هوتل
556,Ambulu,ID,83.17,clear sky,-8.35,113.61,Hotel Ambulu Jember
